,open,high,low,close,volume
2020-03-01,0.04706,0.04831,0.04506,0.04561,289344971.6
2020-03-02,0.04559,0.0498,0.04544,0.04923,245027392.9
2020-03-03,0.04922,0.04941,0.04743,0.04866,210562458.0
2020-03-04,0.04868,0.05034,0.04789,0.04898,212432446.7
2020-03-05,0.04898,0.05229,0.04898,0.05096,239400269.0
2020-03-06,0.05096,0.05174,0.04982,0.05174,166677789.3
2020-03-07,0.05171,0.05186,0.04815,0.04879,159048525.4
2020-03-08,0.04876,0.04876,0.04232,0.04291,338062171.8
2020-03-09,0.04291,0.044,0.03895,0.04156,453024388.7
2020-03-10,0.04151,0.04299,0.04032,0.04146,362267320.9
2020-03-11,0.04145,0.04182,0.03729,0.03969,370400639.3
2020-03-12,0.0397,0.03983,0.02191,0.02329,1182129732.4
2020-03-13,0.02332,0.02938,0.01765,0.02843,1313130187.5
2020-03-14,0.02844,0.0289,0.02529,0.02582,381841598.4
2020-03-15,0.02577,0.02904,0.02546,0.02693,364886224.3
2020-03-16,0.02692,0.02697,0.02156,0.02423,695930389.6
2020-03-17,0.02424,0.0265,0.02386,0.02575,389737125.2
2020-03-18,0.02573,0.02653,0.02428,0.02607,302852175.1
2020-03-19,0.02608,0.03198,0.0258,0.0303,509780641.3
2020-03-20,0.03029,0.03396,0.02659,0.02946,685475524.7
2020-03-21,0.02945,0.03067,0.0279,0.02948,373674370.3
2020-03-22,0.02945,0.03044,0.02679,0.02703,320971901.9
2020-03-23,0.02704,0.02993,0.0266,0.02925,352778439.1
2020-03-24,0.02923,0.03041,0.02874,0.03023,283748059.1
2020-03-25,0.03025,0.03043,0.02872,0.02945,251249333.7
2020-03-26,0.02947,0.03102,0.02923,0.03086,211454985.4
2020-03-27,0.03085,0.03143,0.02828,0.02882,255624968.4
2020-03-28,0.02882,0.02998,0.0278,0.02975,289141133.0
2020-03-29,0.02979,0.02999,0.02803,0.02806,189145475.1
2020-03-30,0.02808,0.03044,0.02801,0.02965,224863601.5
2020-03-31,0.02965,0.03067,0.0295,0.03045,166957955.0
2020-04-01,0.03045,0.03097,0.02942,0.03097,245444045.6
2020-04-02,0.03097,0.03352,0.0307,0.03188,297957908.5
