,open,high,low,close,volume
2020-12-24,1.0004,1.0006,1.0,1.0003,169735834.64
2020-12-25,1.0003,1.0007,1.0002,1.0004,150610996.46
2020-12-26,1.0004,1.0008,1.0001,1.0007,159604601.48
2020-12-27,1.0007,1.0016,1.0003,1.0012,256816406.47
2020-12-28,1.0012,1.0016,1.0008,1.0016,215328395.6
2020-12-29,1.0016,1.002,1.0008,1.001,222416397.82
2020-12-30,1.001,1.0015,0.9996,0.9997,275427452.54
2020-12-31,0.9996,0.9999,0.9986,0.9987,225499177.21
2021-01-01,0.9987,0.9987,0.9971,0.9973,246620115.8
2021-01-02,0.9973,0.9995,0.9969,0.9989,408678184.13
2021-01-03,0.9989,1.0,0.9977,0.9979,421623215.44
2021-01-04,0.9979,1.0003,0.9914,0.9993,526696339.27
2021-01-05,0.9993,0.9997,0.996,0.9969,343744054.21
2021-01-06,0.997,0.9986,0.9954,0.9976,422880303.22
2021-01-07,0.9975,1.0001,0.9963,0.9987,571580725.42
2021-01-08,0.9988,1.0,0.9985,0.9993,470848361.06
2021-01-09,0.9993,0.9996,0.9962,0.9964,341925876.99
2021-01-10,0.9963,1.001,0.9963,0.9998,516331031.95
2021-01-11,0.9998,1.0046,0.9997,0.9998,805244720.05
2021-01-12,0.9999,1.0009,0.9994,1.0005,398863107.4
2021-01-13,1.0005,1.001,0.9998,0.9999,312008920.68
2021-01-14,0.9999,1.0016,0.9996,1.0012,397795479.93
2021-01-15,1.0011,1.0022,1.0,1.0001,399890578.87
2021-01-16,1.0001,1.0005,0.9995,0.9998,333893493.92
2021-01-17,0.9998,1.0006,0.9997,1.0003,268513571.98
2021-01-18,1.0003,1.0005,0.9994,0.9997,245468935.73
2021-01-19,0.9997,1.0001,0.9982,0.9996,438513553.57
2021-01-20,0.9996,1.0004,0.9992,0.9996,380142914.28
2021-01-21,0.9995,1.0013,0.9995,1.0008,421670389.81
2021-01-22,1.0007,1.0013,0.9987,0.999,395688891.6
2021-01-23,0.9991,0.9995,0.9987,0.9993,171436908.96
